Remaining: 351 collecting now: 'Chachani|2008-03-04T02:46:00Z' done in 0.052173 average: 0.03317145454545453
Remaining: 350 collecting now: 'Hussein of Jordan|2017-12-19T12:42:44Z' done in 0.005364 average: 0.03285901123595505
Remaining: 349 collecting now: 'U.S. Route 30 in Indiana|2018-07-13T05:47:03Z' done in 0.025416 average: 0.0327763111111111
Remaining: 348 collecting now: 'Hussein of Jordan|2015-07-25T14:25:19Z' done in 0.04498 average: 0.03291041758241757
Remaining: 347 collecting now: 'Hussein of Jordan|2004-04-28T09:29:25Z' done in 0.05643 average: 0.033166065217391294
Remaining: 346 collecting now: 'Roderigo Lopez|2008-09-19T13:22:36Z' done in 0.005132 average: 0.03286462365591397
Remaining: 345 collecting now: 'Hussein of Jordan|2007-08-13T10:19:35Z' done in 0.003198 average: 0.03254902127659574
Remaining: 344 collecting now: 'Hussein of Jordan|2012-04-23T04:17:53Z' done in 0.051529 average: 0.03274881052631578
Remaining: 343 collecting now: 'Roderigo Lopez|2006-02-28T21:13:40Z' done in 0.012015 average: 0.03253283333333332
Remaining: 342 collecting now: 'Hussein of Jordan|2007-02-25T18:19:14Z' done in 0.00278 average: 0.032226103092783495
Remaining: 341 collecting now: 'U.S. Route 30 in Indiana|2017-09-17T10:20:57Z' done in 0.052715 average: 0.03243517346938774
Remaining: 340 collecting now: 'Chachani|2012-10-30T15:52:05Z' done in 0.047826 average: 0.032590636363636356
Remaining: 339 collecting now: 'U.S. Route 30 in Indiana|2016-10-10T01:59:36Z' done in 0.002701 average: 0.03229173999999999
Remaining: 338 collecting now: 'Hussein of Jordan|2008-01-31T18:06:53Z' done in 0.051153 average: 0.03247848514851484
Remaining: 337 collecting now: 'Hussein of Jordan|2011-08-31T15:13:05Z' done in 0.046299 average: 0.03261398039215685
Remaining: 336 collecting now: 'Hussein of Jordan|2010-02-17T17:51:59Z' done in 0.055881 average: 0.03283987378640775
Remaining: 335 collecting now: 'Roderigo Lopez|2014-09-29T13:35:19Z' done in 0.052231 average: 0.03302632692307691
Remaining: 334 collecting now: 'Hussein of Jordan|2005-03-29T03:56:35Z' done in 0.004609 average: 0.0327556857142857
Remaining: 333 collecting now: 'U.S. Route 30 in Indiana|2012-09-17T12:58:50Z' done in 0.004381 average: 0.03248799999999998
Remaining: 332 collecting now: 'Hussein of Jordan|2008-02-26T04:37:31Z' done in 0.050878 average: 0.03265986915887849
Remaining: 331 collecting now: 'Hussein of Jordan|2010-09-24T16:38:43Z' done in 0.048307 average: 0.03280474999999999
Remaining: 330 collecting now: 'Hussein of Jordan|2006-07-31T23:47:09Z' done in 0.051687 average: 0.03297798165137613
